C4624,C4624,0.0,-2.5,17.5,-8.0,20.5,-5.0,-1.0
C4653,C4653,-10.5,-68.0,6.5,38.5,-6.0,3.0,0.0
C4655,C4655,2.5,40.0,-8.5,5.5,-1.0,-28.0,-10.0
C4656,C4656,26.0,23.5,1.5,21.5,24.0,19.5,10.0
C4671,C4671,434.0,281.0,1124.5,251.5,231.0,164.5,50.5
C4674,C4674,584.25,360.5,599.5,281.25,250.5,88.25,41.5
C4853,C4853,525.0,203.5,478.0,164.0,115.5,75.5,66.5
C4854,C4854,490.0,37.5,821.5,61.5,428.0,101.5,67.0
C4856,C4856,336.0,220.5,417.0,57.5,99.5,128.5,30.0
C4857,C4857,911.0,781.5,862.0,434.0,477.5,202.5,92.0
C5059,C5059,166.5,170.0,170.5,157.0,87.5,62.0,32.0
C5060,C5060,7.5,21.0,16.0,41.0,-23.0,14.0,14.0
C5061,C5061,435.5,691.0,1176.5,340.5,528.0,243.5,130.0
C5062,C5062,905.5,262.5,1028.5,358.0,612.5,205.5,198.5
Cy3 200x,Cy3 200x,148.0,89.5,161.0,102.0,53.5,29.5,40.0
Cy5 200x,Cy5 200x,0.0,1.5,4.0,15.0,6.0,14.5,-5.0
H3 0.04mg,H3 0.04mg,174.0,77.0,229.0,158.5,74.5,50.0,-2.0
Neuraminidase 0.02mg,Neuraminidase 0.02mg,149.0,28.0,201.0,111.0,68.0,53.0,11.0
ORF34,ORF34,518.0,147.5,563.5,453.5,274.5,78.5,84.0
ORF35,ORF35,486.0,106.0,437.0,338.5,193.5,64.0,38.0
Prot-G 25x,Prot-G 25x,29.5,-30.5,11.5,-1.0,-6.0,-2.5,13.0
Streptavidin 1mg,Streptavidin 1mg,210.5,181.0,252.0,114.0,100.0,66.5,14.0
YP022Z3,YP022Z3,234.5,232.5,292.0,168.5,114.0,106.0,14.5
YPO2274,YPO2274,811.0,160.0,1597.0,442.5,889.0,346.0,168.5
YPO2275,YPO2275,1412.5,209.5,1881.5,912.0,919.0,266.5,219.0
YPO2277,YPO2277,339.0,285.5,403.0,250.0,182.5,124.0,49.0
YPO2280.1,YPO2280.1,929.5,868.5,1187.5,684.5,564.5,147.5,137.0
a- hum 16x,a- hum 16x,192.5,128.5,223.5,139.5,75.5,50.5,1.5
a-hum 32x,a-hum 32x,0.0,7.0,9.0,-1.5,4.0,-28.5,-14.0
a-hum 4x,a-hum 4x,738.0,362.0,1246.5,551.5,303.0,38.0,113.5
a-hum 8x,a-hum 8x,0.0,31.5,35.5,-1.0,13.0,13.0,-15.0
a-mouse 16x,a-mouse 16x,36.5,21.0,61.0,9.0,-10.0,-11.5,12.0
a-mouse 32x,a-mouse 32x,324.5,275.0,798.5,252.0,200.0,142.0,86.5
a-mouse 64x,a-mouse 64x,7.5,-19.5,0.0,28.5,0.0,-7.0,-12.5
a-mouse 8x,a-mouse 8x,871.0,159.5,3092.5,432.5,497.0,187.0,174.0
aaeA,aaeA,86.0,54.25,138.75,21.0,34.0,102.75,15.75
aaeB,aaeB,17.5,11.5,93.5,34.5,29.0,12.5,5.0
aaeR,aaeR,16.0,46.5,69.5,14.5,10.0,22.5,-5.5
aaeX,aaeX,73.0,16.5,329.5,72.5,53.0,68.0,20.5
aas,aas,277.0,163.0,321.0,140.5,164.5,229.0,87.5
aat,aat,78.5,94.0,189.0,66.5,43.5,34.5,32.5
abgA,abgA,142.0,95.5,175.5,213.5,129.0,41.5,31.0
abgB,abgB,27.5,5.0,64.0,25.0,28.5,32.0,32.0
abgR,abgR,181.0,183.5,772.0,208.0,274.0,141.0,64.5
abgT,abgT,11.5,68.0,45.0,10.0,7.0,6.5,-5.5
